,Year,Ridership,city
3,2015,1960.0,Del Rio
4,2016,1939.0,Del Rio
5,2017,1764.0,Del Rio
6,2018,1695.0,Del Rio
0,2012,28557.0,Deland
1,2013,26502.0,Deland
2,2014,26063.0,Deland
3,2015,24306.0,Deland
4,2016,22348.0,Deland
5,2017,20827.0,Deland
6,2018,20677.0,Deland
0,2012,13448.0,Delray Beach
1,2013,13280.0,Delray Beach
2,2014,13703.0,Delray Beach
3,2015,14648.0,Delray Beach
4,2016,13173.0,Delray Beach
5,2017,13782.0,Delray Beach
6,2018,13643.0,Delray Beach
0,2012,1170.0,Deming
1,2013,1382.0,Deming
2,2014,1338.0,Deming
3,2015,1453.0,Deming
4,2016,1452.0,Deming
5,2017,1469.0,Deming
6,2018,1388.0,Deming
0,2012,25308.0,Denair
1,2013,28221.0,Denair
2,2014,29196.0,Denair
3,2015,29789.0,Denair
4,2016,29197.0,Denair
5,2017,29924.0,Denair
6,2018,30492.0,Denair
0,2012,4254.0,Denmark
1,2013,4364.0,Denmark
2,2014,4094.0,Denmark
3,2015,3823.0,Denmark
4,2016,3486.0,Denmark
5,2017,3604.0,Denmark
6,2018,3230.0,Denmark
0,2012,110.9,Denver
1,2013,105.2,Denver
2,2014,109.1,Denver
3,2015,124.2,Denver
4,2016,136.4,Denver
5,2017,151.2,Denver
6,2018,141.5,Denver
0,2012,65462.0,Detroit
1,2013,69305.0,Detroit
2,2014,61733.0,Detroit
3,2015,60821.0,Detroit
4,2016,50281.0,Detroit
5,2017,61367.0,Detroit
6,2018,65548.0,Detroit
0,2012,4602.0,Detroit Lakes
1,2013,5103.0,Detroit Lakes
2,2014,4225.0,Detroit Lakes
3,2015,4383.0,Detroit Lakes
4,2016,4910.0,Detroit Lakes
5,2017,4667.0,Detroit Lakes
6,2018,4877.0,Detroit Lakes
0,2012,5505.0,Devils Lake
1,2013,5142.0,Devils Lake
2,2014,3555.0,Devils Lake
3,2015,3512.0,Devils Lake
